"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","local_code"
"313337","ZYJX","medium_airport","Jixi Xingkaihu Airport","45.293","131.193","760","AS","CN","CN-23","Jixi","yes","ZYJX",""
"31706","ZYJZ","medium_airport","Jinzhou Airport","41.10139846801760","121.06199645996100","","AS","CN","CN-21","Jinzhou","yes","ZYJZ",""
"307012","ZYLD","medium_airport","Lindu Airport","47.7520555556","129.019125","791","AS","CN","CN-23","Yichun","yes","ZYLD",""
"300516","ZYLS","medium_airport","Yushu Batang Airport","32.836388888900000","97.0363888889","12816","AS","CN","CN-63","Yushu","no","ZYLS",""
"335272","ZYLY","small_airport","Liaoyang Airbase","41.277976","123.078729","57","AS","CN","CN-21","Liaoyang","no","ZYLY",""
"27240","ZYMD","medium_airport","Mudanjiang Hailang International Airport","44.5241012573","129.569000244","883","AS","CN","CN-23","Mudanjiang","yes","ZYMD",""
"301193","ZYMH","medium_airport","Gu-Lian Airport","52.912777777800000","122.43","1836","AS","CN","CN-23","Mohe","yes","ZYMH",""
"27241","ZYQQ","medium_airport","Qiqihar Sanjiazi Airport","47.239601135253900","123.91799926757800","477","AS","CN","CN-23","Qiqihar","yes","ZYQQ",""
"327451","ZYSQ","medium_airport","Songyuan Chaganhu Airport","44.938114","124.550178","459","AS","CN","CN-22","Qian Gorlos Mongol Autonomous County","yes","ZYSQ",""
"307017","ZYTH","small_airport","Tahe Airport","52.2244444444","124.720222222","1240","AS","CN","CN-23","Tahe","no","ZYTH",""
"27242","ZYTL","large_airport","Zhoushuizi Airport","38.9656982421875","121.53900146484400","107","AS","CN","CN-21","Dalian","yes","ZYTL",""
"307013","ZYTN","medium_airport","Tonghua Sanyuanpu Airport","42.2538888889","125.703333333","1200","AS","CN","CN-22","Tonghua","yes","ZYTN",""
"27243","ZYTX","large_airport","Taoxian Airport","41.639801025390600","123.48300170898400","198","AS","CN","CN-21","Shenyang","yes","ZYTX",""
"27244","ZYYJ","medium_airport","Yanji Chaoyangchuan Airport","42.8828010559","129.451004028","624","AS","CN","CN-22","Yanji","yes","ZYYJ",""
"317861","ZYYK","medium_airport","Yingkou Lanqi Airport","40.542524","122.3586","0","AS","CN","CN-21","Yingkou","yes","ZYYK",""
"32753","ZYYY","medium_airport","Shenyang Dongta Airport","41.784400939941400","123.49600219726600","","AS","CN","CN-21","Shenyang","no","ZYYY",""
"46378","ZZ-0001","heliport","Sealand Helipad","51.894444","1.4825","40","EU","GB","GB-ENG","Sealand","no","",""
"307326","ZZ-0002","small_airport","Glorioso Islands Airstrip","-11.584277777800000","47.296388888900000","11","AF","TF","TF-U-A","Grande Glorieuse","no","",""
"313629","ZZZZ","small_airport","Satsuma Iōjima Airport","30.784722","130.270556","338","AS","JP","JP-46","Mishima-Mura","no","RJX7","RJX7"
